country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual_percent_gdp,transnational_disputes
China,extremely diverse; tropical in south to subarctic in north,coal,"overwhelming majority of the population is found in the eastern half of the country; the west, with its vast mountainous and desert areas, remains sparsely populated; though ranked first in the world in total population, overall density is less than that of many other countries in Asia and Europe; high population density is found along the Yangtze and Yellow River valleys, the Xi Jiang River delta, the Sichuan Basin (around Chengdu), in and around Beijing, and the industrial area around Shenyang",-0.4,17.29,11.48,46.81,12.08,12.34,Standard Chinese or Mandarin,communist party-led state,"civil law influenced by Soviet and continental European civil law systems; legislature retains power to interpret statutes; note - on 28 May 2020, the National People's Congress adopted the PRC Civil Code, which codifies personal relations and property relations",1.0,21.0,100.0,1.0,54.3,119.0,1.9,"China and India continue their security and foreign policy dialogue started in 2005 related to a number of boundary disputes across the 2,000 mile shared border"
Christmas Island,tropical with a wet season (December to April) and dry season; heat and humidity moderated by trade winds,phosphate,majority of the population lives on the northern tip of the island,0.0,12.79,12.2,57.91,11.66,5.44,English,non-self-governing overseas territory of Australia,legal system is under the authority of the governor general of Australia and Australian law,0.0,0.0,0.0,0.0,35.8,0.0,None,none
Clipperton Island,"tropical; humid, average temperature 20-32 degrees Celsius, wet season (May to October)",fish,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,the laws of France apply,0.0,0.0,0.0,0.0,0.0,0.0,None,none
Cocos (Keeling) Islands,"tropical with high humidity, moderated by the southeast trade winds for about nine months of the year",fish,only Home Island and West Island are populated,0.0,0.0,0.0,0.0,0.0,0.0,English,non-self-governing overseas territory of Australia,common law based on the Australian model,0.0,183.0,0.0,0.0,0.0,0.0,None,none
Colombia,tropical along coast and eastern plains; cooler in highlands,petroleum,"the majority of people live in the north and west where agricultural opportunities and natural resources are found; the vast grasslands of the llanos to the south and east, which make up approximately 60% of the country, are sparsely populated",-0.6000000000000001,23.27,16.38,42.04,9.93,8.39,Spanish,presidential republic,civil law system influenced by the Spanish and French civil codes,31.0,160.0,99.0,49.0,62.26,134.0,3.2,"in December 2007, ICJ allocated San Andres, Providencia, and Santa Catalina islands to Colombia under 1928 Treaty but did not rule on 82 degrees W meridian as maritime boundary with Nicaragua"
Comoros,tropical marine; rainy season (November to May),fish,"the capital city of Maroni, located on the western side of the island of Grande Comore, is the country's largest city; however, of the three islands that comprise Comoros, it is Anjouan that is the most densely populated",-2.3,36.68,20.75,33.99,4.49,4.08,Arabic,federal presidential republic,"mixed legal system of Islamic religious law, the French civil code of 1975, and customary law",201.0,125.0,77.8,203.0,8.48,61.0,None,"claims French-administered Mayotte and challenges France's and Madagascar's claims to Banc du Geyser, a drying reef in the Mozambique Channel"
"Congo, Democratic Republic Of The","tropical; hot and humid in equatorial river basin; cooler and drier in southern highlands; cooler and wetter in eastern highlands; north of Equator - wet season (April to October), dry season (December to February); south of Equator - wet season (November to March), dry season (April to October)",cobalt,"urban clusters are spread throughout the country, particularly in the northeast along the boarder with Uganda, Rwanda, and Burundi; the largest city is the capital, Kinshasha, located in the west along the Congo River; the south is least densely populated",-0.9,46.38,19.42,28.38,3.36,2.47,French,semi-presidential republic,"civil law system primarily based on Belgian law, but also customary and tribal law",103.0,101.0,17.1,105.0,8.62,38.0,0.7000000000000001,"heads of the Great Lakes states and UN pledged in 2004 to abate tribal, rebel, and militia fighting in the region, including northeast Congo, where the UN Organization Mission in the Democratic Republic of the Congo (MONUC), organized in 1999, maintains over 16,500 uniformed peacekeepers"
"Congo, Republic Of The",tropical; rainy season (March to June); dry season (June to October); persistent high temperatures and humidity; particularly enervating climate astride the Equator,petroleum,"the population is primarily located in the south, in and around the capital of Brazzaville",-0.9,41.57,17.14,33.5,4.59,3.2,French,presidential republic,mixed legal system of French civil law and customary law,133.0,212.0,56.6,139.0,8.65,99.0,2.7,the location of the boundary in the broad Congo River with the Democratic Republic of the Congo is undefined except in the Pool Malebo/Stanley Pool area
Cook Islands,tropical oceanic; moderated by trade winds; a dry season from April to November and a more humid season from December to March,coconuts,most of the population is found on the island of Rarotonga,-29.9,19.93,14.89,37.66,14.15,13.37,English,parliamentary democracy,common law similar to New Zealand common law,216.0,195.0,0.0,207.0,54.0,105.0,None,none
Coral Sea Islands,tropical,fish,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,the common law legal system of Australia applies where applicable,0.0,0.0,0.0,0.0,0.0,0.0,None,none
Costa Rica,tropical and subtropical; dry season (December to April); rainy season (May to November); cooler in highlands,hydropower,roughly half of the nation's population resides in urban areas; the capital of San Jose is the largest city and home to approximately one-fifth of the population,0.8,22.08,15.19,43.98,9.99,8.76,Spanish,presidential republic,civil law system based on Spanish civil code; judicial review of legislative acts in the Supreme Court,93.0,104.0,100.0,94.0,74.09,170.0,None,Costa Rica and Nicaragua regularly file border dispute cases over the delimitations of the San Juan River and the northern tip of Calero Island to the International Court of Justice (ICJ)
Cote D'Ivoire,"tropical along coast, semiarid in far north; three seasons - warm and dry (November to March), hot and dry (March to May), hot and wet (June to October)",petroleum,"the population is primarily located in the forested south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the northern savanna remains sparsely populated with higher concentrations located along transportation corridors",1.2,38.53,20.21,34.88,3.5300000000000002,2.85,French,presidential republic,civil law system based on the French civil code; judicial review of legislation held in the Constitutional Chamber of the Supreme Court,86.0,10.0,64.3,114.0,46.82,129.0,1.1,disputed maritime border between Cote d'Ivoire and Ghana
Croatia,"Mediterranean and continental; continental climate predominant with hot summers and cold winters; mild winters, dry summers along coast",oil,"more of the population lives in the northern half of the country, with approximately a quarter of the populace residing in and around the capital of Zagreb; many of the islands are sparsely populated",-1.0,14.16,10.76,39.77,14.24,21.06,Croatian,parliamentary republic,civil law system influenced by legal heritage of Austria-Hungary; note - Croatian law was fully harmonized with the European Community acquis as of the June 2010 completion of EU accession negotiations,85.0,121.0,100.0,80.0,72.69,103.0,1.6800000000000002,dispute remains with Bosnia and Herzegovina over several small sections of the boundary related to maritime access that hinders ratification of the 1999 border agreement
Cuba,tropical; moderated by trade winds; dry season (November to April); rainy season (May to October),cobalt,"large population clusters found throughout the country, the more significant ones being in the larger towns and cities, particularly the capital of Havana",-3.7,16.34,11.81,41.95,14.11,15.8,Spanish,communist state,civil law system based on Spanish civil code,79.0,167.0,100.0,74.0,57.15,48.0,2.9,US Naval Base at Guantanamo Bay is leased to US and only mutual agreement or US abandonment of the facility can terminate the lease
Curacao,"tropical marine climate, ameliorated by northeast trade winds, results in mild temperatures; semiarid with average rainfall of 60 cm/year",calcium phosphates,"largest concentration on the island is Willemstad; smaller settlements near the coast can be found throughout the island, particularly in the northwest",-1.3,19.68,13.38,36.55,13.88,16.52,Papiamento,parliamentary democracy,based on Dutch civil law,189.0,95.0,100.0,0.0,93.9,124.0,None,None
Cyprus,"temperate; Mediterranean with hot, dry summers and cool winters",copper,"population concentrated in central Nicosia and in the major cities of the south: Paphos, Limassol, and Larnaca",7.6,15.69,12.29,47.12,11.92,12.97,Greek,"Republic of Cyprus - presidential republic; ""Turkish Republic of Northern Cyprus"" (self-declared) - parliamentary republic with enhanced presidency
note: a separation of the two main ethnic communities inhabiting the island began following the outbreak of communal strife in 1963; this separation was further solidified when a Greek military-junta-supported coup attempt prompted the Turkish military intervention in July 1974 that gave the Turkish Cypriots de facto control in the north; Greek Cypriots control the only internationally recognized government on the island; on 15 November 1983, then Turkish Cypriot ""President"" Rauf DENKTAS declared independence and the formation of the ""TRNC,” which is recognized only by Turkey",mixed legal system of English common law and civil law with European law supremacy,129.0,81.0,100.0,117.0,84.43,97.0,1.6,"hostilities in 1974 divided the island into two de facto autonomous entities, the internationally recognized Cypriot Government and a Turkish-Cypriot community (north Cyprus)"
Czechia,"temperate; cool summers; cold, cloudy, humid winters",hard coal,"a fairly even distribution throughout most of the country, but the northern and eastern regions tend to have larger urban concentrations",2.3,15.17,9.2,43.29,12.12,20.23,Czech,parliamentary republic,"new civil code enacted in 2014, replacing civil code of 1964 - based on former Austro-Hungarian civil codes and socialist theory - and reintroducing former Czech legal terminology",49.0,68.0,100.0,40.0,80.69,119.0,1.19,none
Denmark,"temperate; humid and overcast; mild, windy winters and cool summers",petroleum,"with excellent access to the North Sea, Skagerrak, Kattegat, and the Baltic Sea, population centers tend to be along coastal areas, particularly in Copenhagen and the eastern side of the country's mainland",2.8,16.42,12.33,38.71,12.63,19.91,Danish,parliamentary constitutional monarchy,civil law; judicial review of legislative acts,60.0,139.0,100.0,52.0,97.64,124.0,1.32,"Iceland, the UK, and Ireland dispute Denmark's claim that the Faroe Islands' continental shelf extends beyond 200 nm"
Dhekelia,"temperate; Mediterranean with hot, dry summers and cool winters",None,0,0.0,0.0,0.0,0.0,0.0,0.0,English,0,"laws applicable to the Cypriot population are, as far as possible, the same as the laws of the Republic of Cyprus; note - the Sovereign Base Area Administration has its own court system to deal with civil and criminal matters",0.0,0.0,0.0,0.0,0.0,0.0,None,None
Djibouti,"desert; torrid, dry",potential geothermal power,"most densely populated areas are in the east; the largest city is Djibouti, with a population over 600,000; no other city in the country has a total population over 50,000",5.1,29.97,20.32,40.73,5.01,3.9699999999999998,French,presidential republic,"mixed legal system based primarily on the French civil code (as it existed in 1997), Islamic religious law (in matters of family law and successions), and customary law",183.0,26.0,51.8,175.0,55.68,45.0,None,"Djibouti maintains economic ties and border accords with ""Somaliland"" leadership while maintaining some political ties to various factions in Somalia"
Dominica,tropical; moderated by northeast trade winds; heavy rainfall,timber,"population is mosly clustered along the coast, with roughly a third living in the parish of St. George, in or around the capital of Roseau; the volcanic interior is sparsely populated",-5.3,21.41,13.15,42.79,10.53,12.12,English,parliamentary republic,common law based on the English model,206.0,217.0,100.0,201.0,69.62,102.0,None,"Dominica is the only Caribbean state to challenge Venezuela's sovereignty claim over Aves Island and joins the other island nations in challenging whether the feature sustains human habitation, a criterion under the UN Convention on the Law of the Sea, which permits Venezuela to extend its EEZ and continental shelf claims over a large portion of the eastern Caribbean Sea"
Dominican Republic,tropical maritime; little seasonal temperature variation; seasonal variation in rainfall,nickel,"coastal development is significant, especially in the southern coastal plains and the Cibao Valley, where population density is highest; smaller population clusters exist in the interior mountains (Cordillera Central)",-2.7,26.85,18.15,40.54,8.17,6.29,Spanish,presidential republic,civil law system based on the French civil code; Criminal Procedures Code modified in 2004 to include important elements of an accusatory system,72.0,61.0,100.0,91.0,74.82,87.0,0.7000000000000001,Haitian migrants cross the porous border into the Dominican Republic to find work
Ecuador,"tropical along coast, becoming cooler inland at higher elevations; tropical in Amazonian jungle lowlands",petroleum,"nearly half of the population is concentrated in the interior in the Andean intermontane basins and valleys, with large concentrations also found along the western coastal strip; the rainforests of the east remain sparsely populated",0.0,25.82,17.8,40.31,7.92,8.15,Spanish,presidential republic,civil law based on the Chilean civil code with modifications; traditional law in indigenous communities,66.0,138.0,99.9,69.0,57.27,96.0,2.3,organized illegal narcotics operations in Colombia penetrate across Ecuador's shared border
Egypt,"desert; hot, dry summers with moderate winters",petroleum,approximately 95% of the population lives within 20 km of the Nile River and its delta; vast areas of the country remain sparsely populated or uninhabited,-0.30000000000000004,33.62,18.01,37.85,6.08,4.44,Arabic,presidential republic,"mixed legal system based on Napoleonic civil and penal law, Islamic religious law, and vestiges of colonial-era laws; judicial review of the constitutionality of laws by the Supreme Constitutional Court",21.0,71.0,100.0,23.0,46.92,94.0,1.2,Sudan claims but Egypt de facto administers security and economic development of Halaib region north of the 22nd parallel boundary
El Salvador,tropical; rainy season (May to October); dry season (November to April); tropical on coast; temperate in uplands,hydropower,"athough it is the smallest country in land area in Central America, El Salvador has a population that is 18 times larger than Belize; at least 20% of the population lives abroad; high population density country-wide, with particular concentration around the capital of San Salvador",-4.8,25.83,18.82,40.51,7.23,7.6,Spanish,presidential republic,civil law system with minor common law influence; judicial review of legislative acts in the Supreme Court,109.0,140.0,98.6,113.0,33.82,148.0,1.2,"International Court of Justice (ICJ) ruled on the delimitation of ""bolsones"" (disputed areas) along the El Salvador-Honduras boundary, in 1992, with final agreement by the parties in 2006 after an Organization of American States survey and a further ICJ ruling in 2003"
Equatorial Guinea,"tropical; always hot, humid",petroleum,"only two large cities over 30,000 people (Bata on the mainland, and the capital Malabo on the island of Bioko); small communities are scattered throughout the mainland and the five inhabited islands",0.0,38.73,19.94,32.72,4.69,3.92,Spanish,presidential republic,mixed system of civil and customary law,130.0,213.0,67.9,156.0,26.24,74.0,1.1,"in 2002, ICJ ruled on an equidistance settlement of Cameroon-Equatorial Guinea-Nigeria maritime boundary in the Gulf of Guinea, but a dispute between Equatorial Guinea and Cameroon over an island at the mouth of the Ntem River and imprecisely defined maritime coordinates in the ICJ decision delayed final delimitation"
Eritrea,"hot, dry desert strip along Red Sea coast; cooler and wetter in the central highlands (up to 61 cm of rainfall annually, heaviest June to September); semiarid in western hills and lowlands",gold,density is highest in the center of the country in and around the cities of Asmara (capital) and Keren; smaller settlements exist in the north and south,-11.6,38.23,20.56,33.42,3.8,4.0,Tigrinya,presidential republic,"mixed legal system of civil, customary, and Islamic religious law",161.0,49.0,46.7,172.0,1.31,9.0,None,"Eritrea and Ethiopia agreed to abide by 2002 Ethiopia-Eritrea Boundary Commission's (EEBC) delimitation decision, but neither party responded to the revised line detailed in the November 2006 EEBC Demarcation Statement"
Estonia,"maritime; wet, moderate winters, cool summers",oil shale,"a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations",-3.1,16.22,8.86,40.34,13.58,21.0,Estonian,parliamentary republic,civil law system,116.0,52.0,100.0,106.0,89.36,155.0,2.14,"Russia and Estonia in May 2005 signed a technical border agreement, but Russia in June 2005 recalled its signature after the Estonian parliament added to its domestic ratification act a historical preamble referencing the Soviet occupation and Estonia's pre-war borders under the 1920 Treaty of Tartu"
Eswatini,varies from tropical to near temperate,asbestos,"because of its mountainous terrain, the population distribution is uneven throughout the country, concentrating primarily in valleys and plains",-6.8,33.63,18.71,39.46,4.36,3.83,English,absolute monarchy,"mixed legal system of civil, common, and customary law",157.0,168.0,65.8,160.0,47.0,68.0,1.8,"in 2006, Swati king advocated resorting to ICJ to claim parts of Mpumalanga and KwaZulu-Natal from South Africa"
Ethiopia,tropical monsoon with wide topographic-induced variation,small reserves of gold,"highest density is found in the highlands of the north and middle areas of the country, particularly around the centrally located capital city of Addis Ababa; the far east and southeast are sparsely populated",-0.2,39.81,19.47,32.92,4.42,3.38,Oromo,federal parliamentary republic,civil law system,64.0,5.0,42.9,99.0,18.62,59.0,0.65,"Eritrea and Ethiopia agreed to abide by the 2002 Eritrea-Ethiopia Boundary Commission's (EEBC) delimitation decision, but neither party responded to the revised line detailed in the November 2006 EEBC Demarcation Statement"
Falkland Islands (Islas Malvinas),"cold marine; strong westerly winds, cloudy, humid; rain occurs on more than half of days in year; average annual rainfall is 60 cm in Stanley; occasional snow all year, except in January and February, but typically does not accumulate",fish,"a very small population, with most residents living in and around Stanley",0.0,0.0,0.0,0.0,0.0,0.0,English,parliamentary democracy (Legislative Assembly); self-governing overseas territory of the UK,English common law and local statutes,220.0,3.0,0.0,208.0,98.3,146.0,None,"Argentina, which claims the islands in its constitution and briefly occupied them by force in 1982, agreed in 1995 to no longer seek settlement by force"
Faroe Islands,"mild winters, cool summers; usually overcast; foggy, windy",fish,"the island of Streymoy is by far the most populous with over 40% of the population; it has approximately twice as many inhabitants as Eysturoy, the second most populous island; seven of the inhabited islands have fewer than 100 people",0.0,19.69,13.89,37.01,12.0,17.41,Faroese,parliamentary democracy (Faroese Parliament); part of the Kingdom of Denmark,the laws of Denmark apply where applicable,197.0,35.0,100.0,176.0,97.58,111.0,None,"because anticipated offshore hydrocarbon resources have not been realized, earlier Faroese proposals for full independence have been deferred"
Fiji,tropical marine; only slight seasonal temperature variation,timber,approximately 70% of the population lives on the island of Viti Levu; roughly half of the population lives in urban areas,-6.2,26.86,15.51,41.05,9.25,7.34,English,parliamentary republic,common law system based on the English model,163.0,113.0,98.6,154.0,49.97,112.0,1.6,maritime boundary dispute with Tonga
Finland,"cold temperate; potentially subarctic but comparatively mild because of moderating influence of the North Atlantic Current, Baltic Sea, and more than 60,000 lakes",timber,the vast majority of people are found in the south; the northern interior areas remain sparsely poplulated,2.6,16.41,10.95,37.37,13.02,22.26,Finnish,parliamentary republic,civil law system based on the Swedish model,62.0,122.0,100.0,50.0,88.89,129.0,1.5,"various groups in Finland advocate restoration of Karelia and other areas ceded to the former Soviet Union, but the Finnish Government asserts no territorial demands"
France,"generally cool winters and mild summers, but mild winters and hot summers along the Mediterranean; occasional strong, cold, dry, north-to-northwesterly wind known as the mistral;",coal,"much of the population is concentrated in the north and southeast; although there are many urban agglomerations throughout the country, Paris is by far the largest city, with Lyon ranked a distant second",1.1,18.36,11.88,36.83,12.47,20.46,French,semi-presidential republic,civil law; review of administrative but not legislative acts,10.0,141.0,100.0,9.0,82.04,105.0,1.8399999999999999,"Madagascar claims the French territories of Bassas da India, Europa Island, Glorioso Islands, and Juan de Nova Island"
French Polynesia,"tropical, but moderate",timber,"the majority of the population lives in the Society Islands, one of five archipelagos that includes the most populous island - Tahiti - with approximately 70% of the nation's population",-0.7000000000000001,21.69,14.72,44.24,10.31,9.04,French,parliamentary democracy (Assembly of French Polynesia); an overseas collectivity of France,"the laws of France, where applicable, apply",177.0,150.0,100.0,163.0,72.7,104.0,None,none
Gabon,"tropical; always hot, humid",petroleum,"the relatively small population is spread in pockets throughout the country; the largest urban center is the capital of Libreville, located along the Atlantic coast in the northwest",3.9,36.45,21.9,32.48,5.19,3.98,French,presidential republic,mixed legal system of French civil law and customary law,123.0,191.0,91.4,137.0,62.0,138.0,1.6,UN urges Equatorial Guinea and Gabon to resolve the sovereignty dispute over Gabon-occupied Mbane Island and lesser islands and to establish a maritime boundary in hydrocarbon-rich Corisco Bay
"Gambia, The","tropical; hot, rainy season (June to November); cooler, dry season (November to May)",fish,"settlements are found scattered along the Gambia River; the largest communities, including the capital of Banjul, and the country's largest city, Serekunda, are found at the mouth of the Gambia River along the Atlantic coast",-1.6,35.96,20.09,35.85,4.4,3.69,English,presidential republic,"mixed legal system of English common law, Islamic law, and customary law",176.0,62.0,47.8,178.0,19.84,152.0,0.8,"attempts to stem refugees, cross-border raids, arms smuggling, and other illegal activities by separatists from southern Senegal's Casamance region, as well as from conflicts in other west African states"
Gaza Strip,"temperate, mild winters, dry and warm to hot summers",arable land,"population concentrated in major cities, particularly Gaza City in the north",-4.7,42.53,21.67,29.47,3.66,2.68,Arabic,0,0,0.0,223.0,98.0,0.0,57.4,76.0,None,the status of the Gaza Strip is a final status issue to be resolved through negotiations
Georgia,warm and pleasant; Mediterranean-like on Black Sea coast,timber,"settlement concentrated in the central valley, particularly in the capital city of Tbilisi in the east; smaller urban agglomerations dot the Black Sea coast, with Bat'umi being the largest",0.1,18.42,10.9,40.59,13.24,16.85,Georgian,semi-presidential republic,civil law system,119.0,50.0,100.0,84.0,63.97,111.0,2,Russia's military support and subsequent recognition of Abkhazia and South Ossetia independence in 2008 continue to sour relations with Georgia
Germany,"temperate and marine; cool, cloudy, wet winters and summers; occasional warm mountain (foehn) wind",coal,"most populous country in Europe; a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations, particularly in the far western part of the industrial state of North Rhine-Westphalia",1.5,12.89,9.81,38.58,15.74,22.99,German,federal parliamentary republic,civil law system,5.0,128.0,100.0,6.0,89.74,134.0,1.38,none
Ghana,tropical; warm and comparatively dry along southeast coast; hot and humid in southwest; hot and dry in north,gold,"population is concentrated in the southern half of the country, with the highest concentrations being on or near the Atlantic coast",-1.6,37.44,18.64,34.27,5.21,4.44,Asante,presidential republic,mixed system of English common law and customary law,80.0,7.0,79.3,92.0,39.0,146.0,0.4,disputed maritime border between Ghana and Cote d'Ivoire
Gibraltar,Mediterranean with mild winters and warm summers,None,0,-3.3,20.24,13.07,41.28,8.71,16.7,English,parliamentary democracy (Parliament); self-governing overseas territory of the UK,"the laws of the UK, where applicable, apply",196.0,0.0,0.0,196.0,94.4,139.0,None,"in 2002, Gibraltar residents voted overwhelmingly by referendum to reject any ""shared sovereignty"" arrangement"
Greece,"temperate; mild, wet winters; hot, dry summers",lignite,one-third of the population lives in and around metropolitan Athens; the remainder of the country has moderate population density mixed with sizeable urban clusters,0.9,14.53,10.34,39.6,13.1,22.43,Greek,parliamentary republic,civil legal system based on Roman law,56.0,176.0,100.0,46.0,72.95,114.0,2.2800000000000002,"Greece and Turkey continue discussions to resolve their complex maritime, air, territorial, and boundary disputes in the Aegean Sea"
Greenland,"arctic to subarctic; cool summers, cold winters",coal,"settlement concentrated on the southwest shoreline, with limited settlements scattered along the remaining coast; interior is uninhabited",-6.0,20.82,14.45,39.72,14.66,10.36,Greenlandic,parliamentary democracy (Parliament of Greenland or Inatsisartut),the laws of Denmark apply where applicable and Greenlandic law applies to other areas,193.0,11.0,100.0,167.0,69.48,108.0,None,managed dispute between Canada and Denmark over Hans Island in the Kennedy Channel between Canada's Ellesmere Island and Greenland
Grenada,tropical; tempered by northeast trade winds,timber,approximately one-third of the population is found in the capital of St. George's; the island's population is concentrated along the coast,-2.6,23.23,14.14,40.05,11.69,10.89,English,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,common law based on English model,198.0,46.0,92.3,191.0,59.07,101.0,None,none
Guam,"tropical marine; generally warm and humid, moderated by northeast trade winds; dry season (January to June), rainy season (July to December); little seasonal temperature variation",aquatic wildlife supporting tourism,"no large cities exist on the island, though large villages (municipalities) attract much of the population; the largest of these is Dededo",-11.0,27.22,16.08,36.65,10.5,9.54,English,"republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government",common law modeled on US system; US federal laws apply,174.0,192.0,100.0,143.0,80.51,113.0,None,none
Guatemala,"tropical; hot, humid in lowlands; cooler in highlands",petroleum,"the vast majority of the populace resides in the southern half of the country, particularly in the mountainous regions; more than half of the population lives in rural areas",-1.7000000000000002,33.68,19.76,36.45,5.41,4.7,Spanish,presidential republic,civil law system; judicial review of legislative acts,77.0,123.0,91.8,85.0,65.0,123.0,0.4,annual ministerial meetings under the Organization of American States-initiated Agreement on the Framework for Negotiations and Confidence Building Measures continue to address Guatemalan land and maritime claims in Belize and the Caribbean Sea
Guernsey,temperate with mild winters and cool summers; about 50% of days are overcast,cropland,0,1.9,14.5,10.58,40.73,13.96,20.23,English,parliamentary democracy (States of Deliberation),customary legal system based on Norman customary law; includes elements of the French civil code and English common law,184.0,193.0,100.0,0.0,83.3,113.0,None,none
Guinea,generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,bauxite,areas of highest density are in the west and south; interior is sparsely populated,0.0,41.2,19.32,30.85,4.73,3.91,French,presidential republic,civil law system based on the French model,138.0,8.0,33.5,145.0,18.0,101.0,2,"Sierra Leone considers Guinea's definition of the flood plain limits to define the left bank boundary of the Makona and Moa Rivers excessive and protests Guinea's continued occupation of these lands, including the hamlet of Yenga, occupied since 1998"
Guinea-Bissau,tropical; generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,fish,"approximately one-fifth of the population lives in the capital city of Bissau along the Atlantic coast; the remainder is distributed among the eight other, mainly rural, regions",-3.8,43.17,20.38,30.24,3.12,3.08,Crioulo,semi-presidential republic,"mixed legal system of civil law, which incorporated Portuguese law at independence and influenced by Economic Community of West African States (ECOWAS), West African Economic and Monetary Union (UEMOA), African Francophone Public Law, and customary law",188.0,36.0,14.7,200.0,3.93,81.0,1.4,"a longstanding low-grade conflict continues in parts of
Casamance, in Senegal across the border"
Guyana,"tropical; hot, humid, moderated by northeast trade winds; two rainy seasons (May to August, November to January)",bauxite,"population is heavily concentrated in the northeast in and around Georgetown, with noteable concentrations along the Berbice River to the east; the remainder of the country is sparsely populated",0.0,23.91,21.23,39.48,8.37,7.01,English,parliamentary republic,"common law system, based on the English model, with some Roman-Dutch civil law influence",171.0,146.0,84.2,151.0,37.33,87.0,1.7000000000000002,all of the area west of the Essequibo River is claimed by Venezuela preventing any discussion of a maritime boundary
Haiti,tropical; semiarid where mountains in east cut off trade winds,bauxite,fairly even distribution; largest concentrations located near coastal areas,-1.9,31.21,20.71,38.45,5.3,4.33,French,semi-presidential republic,civil law system strongly influenced by Napoleonic Code,150.0,181.0,38.7,155.0,32.47,59.0,None,"since 2004, peacekeepers from the UN Stabilization Mission in Haiti have assisted in maintaining civil order in Haiti"
Heard Island And Mcdonald Islands,antarctic,fish,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,the laws of Australia apply where applicable,0.0,0.0,0.0,0.0,0.0,0.0,None,none
Holy See (Vatican City),"temperate; mild, rainy winters (September to May) with hot, dry summers (May to September)",None,0,0.0,0.0,0.0,0.0,0.0,0.0,Italian,"ecclesiastical elective monarchy; self-described as an ""absolute monarchy""",religious legal system based on canon (religious) law,0.0,0.0,0.0,0.0,0.0,0.0,None,none
Honduras,"subtropical in lowlands, temperate in mountains",timber,"most residents live in the mountainous western half of the country; unlike other Central American nations, Honduras is the only one with an urban population that is distributed between two large centers - the capital of Tegucigalpa and the city of San Pedro Sula; the Rio Ulua valley in the north is the only densely populated lowland area",-1.4,30.2,21.03,37.79,5.58,5.4,Spanish,presidential republic,civil law system,112.0,56.0,87.6,108.0,31.7,84.0,1.6,"International Court of Justice (ICJ) ruled on the delimitation of ""bolsones"" (disputed areas) along the El Salvador-Honduras border in 1992 with final settlement by the parties in 2006 after an Organization of American States survey and a further ICJ ruling in 2003"
Hong Kong,"subtropical monsoon; cool and humid in winter, hot and rainy from spring through summer, warm and sunny in fall",outstanding deepwater harbor,population fairly evenly distributed,1.7000000000000002,12.81,8.81,42.66,17.24,18.48,Cantonese,presidential limited democracy; a special administrative region of the People's Republic of China,mixed legal system of common law based on the English model and Chinese customary law (in matters of family and land tenure),42.0,87.0,100.0,55.0,89.42,276.0,None,"Hong Kong plans to reduce its 2,800-hectare Frontier Closed Area (FCA) to 400 hectares by 2015"
Hungary,"temperate; cold, cloudy, humid winters; warm summers",bauxite,"a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations",1.3,14.54,10.43,42.17,12.17,20.69,Hungarian,parliamentary republic,civil legal system influenced by the German model,59.0,76.0,100.0,67.0,76.07,102.0,1.21,"bilateral government, legal, technical and economic working group negotiations continue in 2006 with Slovakia over Hungary's failure to complete its portion of the Gabcikovo-Nagymaros hydroelectric dam project along the Danube"
Iceland,"temperate; moderated by North Atlantic Current; mild, windy winters; damp, cool summers",fish,Iceland is almost entirely urban with half of the population located in and around the capital of Reykjavik; smaller clusters are primarily found along the coast in the north and west,3.3,20.31,12.85,39.44,11.94,15.47,Icelandic,unitary parliamentary republic,civil law system influenced by the Danish model,153.0,77.0,100.0,100.0,99.01,124.0,0.30000000000000004,"Iceland, the UK, and Ireland dispute Denmark's claim that the Faroe Islands' continental shelf extends beyond 200 nm"
