country,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants,protesteridentity,sources,notes,final,ignore,crowd dispersal,arrests,accomodation,shootings,beatings,killings,"political behavior, process",labor wage dispute,"price increases, tax policy",removal of politician,police brutality,land farm issue,social restrictions
Cuba,2016,North America,1,6,7.0,2.0,2016.0,7.0,2.0,2016.0,0.0,Havana,dozens,ladies in white,"1. as obama arrives, cuba tightens grip on dissent. the new york times, march 21, 2016 monday, section a; column 0; foreign desk; pg. 1, 1294 words, by damien cave and julie hirschfeld davis; 2. obama lands in cuba to begin historic visit. the washington post, march 21, 2016 monday, a section; pg. a01, 1376 words, karen deyoung, nick miroff, juliet eilperin;","he is the first sitting american president to visit in nearly nine decades, and cubans of all political persuasions had eagerly awaited his arrival. but hours before air force one landed at jos mart international airport, the challenges inherent in normalizing relations with a communist police state were laid bare, as dozens of arrests were made at the weekly march of ladies in white, a prominent dissident group. the protest, which takes place most sundays outside a suburban church here, was widely seen as a test of cuba s tolerance for dissent during the presidential trip, and the arrests confirmed that cuba was maintaining its long history of repressive tactics, if not intensifying their reach. for mr. obama who is scheduled to meet tuesday with dissidents including the leader of ladies in white, berta soler the detentions threw a spotlight on the core challenge of the visit: how to work with the castro government while expressing concern for its handling of human rights and free expression.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,7,14.0,2.0,2016.0,14.0,2.0,2016.0,0.0,Havana,dozens,ladies in white,"1. as obama arrives, cuba tightens grip on dissent. the new york times, march 21, 2016 monday, section a; column 0; foreign desk; pg. 1, 1294 words, by damien cave and julie hirschfeld davis; 2. obama lands in cuba to begin historic visit. the washington post, march 21, 2016 monday, a section; pg. a01, 1376 words, karen deyoung, nick miroff, juliet eilperin;","he is the first sitting american president to visit in nearly nine decades, and cubans of all political persuasions had eagerly awaited his arrival. but hours before air force one landed at jos mart international airport, the challenges inherent in normalizing relations with a communist police state were laid bare, as dozens of arrests were made at the weekly march of ladies in white, a prominent dissident group. the protest, which takes place most sundays outside a suburban church here, was widely seen as a test of cuba s tolerance for dissent during the presidential trip, and the arrests confirmed that cuba was maintaining its long history of repressive tactics, if not intensifying their reach. for mr. obama who is scheduled to meet tuesday with dissidents including the leader of ladies in white, berta soler the detentions threw a spotlight on the core challenge of the visit: how to work with the castro government while expressing concern for its handling of human rights and free expression.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,8,21.0,2.0,2016.0,21.0,2.0,2016.0,0.0,Havana,dozens,ladies in white,"1. as obama arrives, cuba tightens grip on dissent. the new york times, march 21, 2016 monday, section a; column 0; foreign desk; pg. 1, 1294 words, by damien cave and julie hirschfeld davis; 2. obama lands in cuba to begin historic visit. the washington post, march 21, 2016 monday, a section; pg. a01, 1376 words, karen deyoung, nick miroff, juliet eilperin;","he is the first sitting american president to visit in nearly nine decades, and cubans of all political persuasions had eagerly awaited his arrival. but hours before air force one landed at jos mart international airport, the challenges inherent in normalizing relations with a communist police state were laid bare, as dozens of arrests were made at the weekly march of ladies in white, a prominent dissident group. the protest, which takes place most sundays outside a suburban church here, was widely seen as a test of cuba s tolerance for dissent during the presidential trip, and the arrests confirmed that cuba was maintaining its long history of repressive tactics, if not intensifying their reach. for mr. obama who is scheduled to meet tuesday with dissidents including the leader of ladies in white, berta soler the detentions threw a spotlight on the core challenge of the visit: how to work with the castro government while expressing concern for its handling of human rights and free expression.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,9,28.0,2.0,2016.0,28.0,2.0,2016.0,0.0,Havana,dozens,ladies in white,"1. as obama arrives, cuba tightens grip on dissent. the new york times, march 21, 2016 monday, section a; column 0; foreign desk; pg. 1, 1294 words, by damien cave and julie hirschfeld davis; 2. obama lands in cuba to begin historic visit. the washington post, march 21, 2016 monday, a section; pg. a01, 1376 words, karen deyoung, nick miroff, juliet eilperin;","he is the first sitting american president to visit in nearly nine decades, and cubans of all political persuasions had eagerly awaited his arrival. but hours before air force one landed at jos mart international airport, the challenges inherent in normalizing relations with a communist police state were laid bare, as dozens of arrests were made at the weekly march of ladies in white, a prominent dissident group. the protest, which takes place most sundays outside a suburban church here, was widely seen as a test of cuba s tolerance for dissent during the presidential trip, and the arrests confirmed that cuba was maintaining its long history of repressive tactics, if not intensifying their reach. for mr. obama who is scheduled to meet tuesday with dissidents including the leader of ladies in white, berta soler the detentions threw a spotlight on the core challenge of the visit: how to work with the castro government while expressing concern for its handling of human rights and free expression.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,10,6.0,3.0,2016.0,6.0,3.0,2016.0,0.0,Havana,dozens,ladies in white,"1. as obama arrives, cuba tightens grip on dissent. the new york times, march 21, 2016 monday, section a; column 0; foreign desk; pg. 1, 1294 words, by damien cave and julie hirschfeld davis; 2. obama lands in cuba to begin historic visit. the washington post, march 21, 2016 monday, a section; pg. a01, 1376 words, karen deyoung, nick miroff, juliet eilperin;","he is the first sitting american president to visit in nearly nine decades, and cubans of all political persuasions had eagerly awaited his arrival. but hours before air force one landed at jos mart international airport, the challenges inherent in normalizing relations with a communist police state were laid bare, as dozens of arrests were made at the weekly march of ladies in white, a prominent dissident group. the protest, which takes place most sundays outside a suburban church here, was widely seen as a test of cuba s tolerance for dissent during the presidential trip, and the arrests confirmed that cuba was maintaining its long history of repressive tactics, if not intensifying their reach. for mr. obama who is scheduled to meet tuesday with dissidents including the leader of ladies in white, berta soler the detentions threw a spotlight on the core challenge of the visit: how to work with the castro government while expressing concern for its handling of human rights and free expression.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,11,13.0,3.0,2016.0,13.0,3.0,2016.0,0.0,Havana,dozens,ladies in white,"1. as obama arrives, cuba tightens grip on dissent. the new york times, march 21, 2016 monday, section a; column 0; foreign desk; pg. 1, 1294 words, by damien cave and julie hirschfeld davis; 2. obama lands in cuba to begin historic visit. the washington post, march 21, 2016 monday, a section; pg. a01, 1376 words, karen deyoung, nick miroff, juliet eilperin;","he is the first sitting american president to visit in nearly nine decades, and cubans of all political persuasions had eagerly awaited his arrival. but hours before air force one landed at jos mart international airport, the challenges inherent in normalizing relations with a communist police state were laid bare, as dozens of arrests were made at the weekly march of ladies in white, a prominent dissident group. the protest, which takes place most sundays outside a suburban church here, was widely seen as a test of cuba s tolerance for dissent during the presidential trip, and the arrests confirmed that cuba was maintaining its long history of repressive tactics, if not intensifying their reach. for mr. obama who is scheduled to meet tuesday with dissidents including the leader of ladies in white, berta soler the detentions threw a spotlight on the core challenge of the visit: how to work with the castro government while expressing concern for its handling of human rights and free expression.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,12,20.0,3.0,2016.0,20.0,3.0,2016.0,0.0,"Santa Rita church, Havana",dozens,ladies in white,"1. as obama arrives, cuba tightens grip on dissent. the new york times, march 21, 2016 monday, section a; column 0; foreign desk; pg. 1, 1294 words, by damien cave and julie hirschfeld davis; 2. obama lands in cuba to begin historic visit. the washington post, march 21, 2016 monday, a section; pg. a01, 1376 words, karen deyoung, nick miroff, juliet eilperin;","he is the first sitting american president to visit in nearly nine decades, and cubans of all political persuasions had eagerly awaited his arrival. but hours before air force one landed at jos mart international airport, the challenges inherent in normalizing relations with a communist police state were laid bare, as dozens of arrests were made at the weekly march of ladies in white, a prominent dissident group. the protest, which takes place most sundays outside a suburban church here, was widely seen as a test of cuba s tolerance for dissent during the presidential trip, and the arrests confirmed that cuba was maintaining its long history of repressive tactics, if not intensifying their reach. for mr. obama who is scheduled to meet tuesday with dissidents including the leader of ladies in white, berta soler the detentions threw a spotlight on the core challenge of the visit: how to work with the castro government while expressing concern for its handling of human rights and free expression.",arrests,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,13,27.0,3.0,2016.0,27.0,3.0,2016.0,0.0,Havana,dozens,ladies in white,"to change cuba, speak of democracy. the washington post, april 25, 2016 monday, editorial copy; pg. a14, 488 words;","exactly. this is why the authorities relentlessly harassed oswaldo pay , a champion of democracy who was killed in a suspicious car wreck in 2012 along with a colleague, harold cepero; why regime thugs still assault the ladies in white, relatives of political prisoners who demonstrate weekly; why they rough up other dissidents and free thinkers. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,14,3.0,4.0,2016.0,3.0,4.0,2016.0,0.0,Havana,dozens,ladies in white,"to change cuba, speak of democracy. the washington post, april 25, 2016 monday, editorial copy; pg. a14, 488 words;","exactly. this is why the authorities relentlessly harassed oswaldo pay , a champion of democracy who was killed in a suspicious car wreck in 2012 along with a colleague, harold cepero; why regime thugs still assault the ladies in white, relatives of political prisoners who demonstrate weekly; why they rough up other dissidents and free thinkers. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,15,10.0,4.0,2016.0,10.0,4.0,2016.0,0.0,Havana,dozens,ladies in white,"to change cuba, speak of democracy. the washington post, april 25, 2016 monday, editorial copy; pg. a14, 488 words;","exactly. this is why the authorities relentlessly harassed oswaldo pay , a champion of democracy who was killed in a suspicious car wreck in 2012 along with a colleague, harold cepero; why regime thugs still assault the ladies in white, relatives of political prisoners who demonstrate weekly; why they rough up other dissidents and free thinkers. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,16,17.0,4.0,2016.0,17.0,4.0,2016.0,0.0,Havana,dozens,ladies in white,"to change cuba, speak of democracy. the washington post, april 25, 2016 monday, editorial copy; pg. a14, 488 words;","exactly. this is why the authorities relentlessly harassed oswaldo pay , a champion of democracy who was killed in a suspicious car wreck in 2012 along with a colleague, harold cepero; why regime thugs still assault the ladies in white, relatives of political prisoners who demonstrate weekly; why they rough up other dissidents and free thinkers. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,17,24.0,4.0,2016.0,24.0,4.0,2016.0,0.0,Havana,dozens,ladies in white,"to change cuba, speak of democracy. the washington post, april 25, 2016 monday, editorial copy; pg. a14, 488 words;","exactly. this is why the authorities relentlessly harassed oswaldo pay , a champion of democracy who was killed in a suspicious car wreck in 2012 along with a colleague, harold cepero; why regime thugs still assault the ladies in white, relatives of political prisoners who demonstrate weekly; why they rough up other dissidents and free thinkers. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,18,1.0,5.0,2016.0,1.0,5.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",beatings,0,1,0,0,0,1,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,19,8.0,5.0,2016.0,8.0,5.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,20,15.0,5.0,2016.0,15.0,5.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,21,22.0,5.0,2016.0,22.0,5.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,22,29.0,5.0,2016.0,29.0,5.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,23,5.0,6.0,2016.0,5.0,6.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,24,12.0,6.0,2016.0,12.0,6.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,25,19.0,6.0,2016.0,19.0,6.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,26,26.0,6.0,2016.0,26.0,6.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,27,3.0,7.0,2016.0,3.0,7.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,28,10.0,7.0,2016.0,10.0,7.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,29,17.0,7.0,2016.0,17.0,7.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,30,24.0,7.0,2016.0,24.0,7.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,31,31.0,7.0,2016.0,31.0,7.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,32,7.0,8.0,2016.0,7.0,8.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cuba,2016,North America,1,33,14.0,8.0,2016.0,14.0,8.0,2016.0,0.0,Havana,dozens,ladies in white,"mr. trump s cuban opportunity. the washington post, january 11, 2017 wednesday regional edition, editorial copy; pg. a18, 551 words ;","the regime s attacks have been focused on groups seeking a democratic opening, including the ladies in white, who are regularly assaulted and beaten for attempting to stage peaceful assemblies, and the national patriotic union of cuba, a pro democracy organization centered in the city of santiago that was the target of a major sweep shortly before christmas. danilo el sexto maldonado, an internationally renowned dissident artist, has been imprisoned since nov. 26, when he responded to fidel castro s death by painting the words he is gone on a wall. in all the enthusiasm in the united states for more tourism, cultural exchanges and investment in cuba, there have been far too few demands for more democracy on the island. a lesson of mr. obama s visit, and the communist party s overheated reaction, is that the mere mention of democracy and freedom is a powerful tool. mr. obama put it simply in havana, declaring that citizens should be free to speak their mind without fear. those rushing to havana lately must not forget to articulate this message, again and again.",ignore,1,0,0,0,0,0,0,1,0,0,1,0,0,0
