country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual,transnational_disputes
Cayman Islands,"tropical marine; warm, rainy summers (May to October) and cool, relatively dry winters (November to April)","['fish', 'climate', 'beaches that foster tourism']",majority of the population resides on Grand Cayman,13.0,17.75,11.86,41.37,14.78,14.24,"[{'name': 'English', 'percent': 90.9, 'note': 'official'}, {'name': 'Spanish', 'percent': 4}, {'name': 'Filipino', 'percent': 3.3}, {'name': 'other', 'percent': 1.7000000000000002}, {'name': 'unspecified', 'percent': 0.1}]",parliamentary democracy; self-governing overseas territory of the UK,English common law and local statutes,192.0,163.0,100.0,174.0,79.0,164.0,,['none']
Central African Republic,"tropical; hot, dry winters; mild to hot, wet summers","['diamonds', 'uranium', 'timber', 'gold', 'oil', 'hydropower']","majority of residents live in the western and central areas of the country, especially in and around the capital of Bangui as shown in this population distribution map",0.0,39.49,19.89,32.95,4.32,3.35,"[{'name': 'French', 'note': 'official'}, {'name': 'Sangho', 'note': 'lingua franca and national language'}, {'name': 'tribal languages'}]",presidential republic,civil law system based on the French model,185.0,67.0,14.0,197.0,4.34,22.0,"[{'value': 1.5, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.4100000000000001, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.44, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.53, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.69, 'units': 'percent_of_gdp', 'date': '2015'}]",['periodic skirmishes persist over water and grazing rights among related pastoral populations along the border with southern Sudan']
Chad,"tropical in south, desert in north","['petroleum', 'uranium', 'natron', 'kaolin', 'fish', 'Lake Chad', 'gold', 'limestone', 'sand', 'gravel', 'salt']","the population is unevenly distributed due to contrasts in climate and physical geography; the highest density is found in the southwest, particularly around Lake Chad and points south; the dry Saharan zone to the north is the least densely populated",-0.1,47.43,19.77,27.14,3.24,2.43,"[{'name': 'French', 'note': 'official'}, {'name': 'Arabic', 'note': 'official'}, {'name': 'Sara', 'note': 'in south'}, {'name': 'more than different languages and dialects', 'percent': 120}]",presidential republic,mixed legal system of civil and customary law,134.0,211.0,8.8,192.0,6.5,44.0,"[{'value': 2.2, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.3, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.2, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.8, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2, 'units': 'percent_of_gdp', 'date': '2015'}]","['since 2003, ad hoc armed militia groups and the Sudanese military have driven hundreds of thousands of Darfur residents into Chad', 'Chad wishes to be a helpful mediator in resolving the Darfur conflict, and in 2010 established a joint border monitoring force with Sudan, which has helped to reduce cross-border banditry and violence', ""only Nigeria and Cameroon have heeded the Lake Chad Commission's admonition to ratify the delimitation treaty, which also includes the Chad-Niger and Niger-Nigeria boundaries""]"
Chile,temperate; desert in north; Mediterranean in central region; cool and damp in south,"['copper', 'timber', 'iron ore', 'nitrates', 'precious metals', 'molybdenum', 'hydropower']",90% of the population is located in the middle third of the country around the capital of Santiago; the far north (anchored by the Atacama Desert) and the extreme south are relatively underpopulated,0.30000000000000004,19.79,13.84,42.58,11.98,11.81,"[{'name': 'Spanish', 'percent': 99.5, 'note': 'official'}, {'name': 'English', 'percent': 10.2}, {'name': 'indigenous', 'percent': 1, 'note': 'includes Mapudungun, Aymara, Quechua, Rapa Nui'}, {'name': 'other', 'percent': 2.3}, {'name': 'unspecified', 'percent': 0.2}]",presidential republic,civil law system influenced by several West European civil legal systems; judicial review of legislative acts by the Constitutional Tribunal,44.0,170.0,100.0,37.0,82.33,140.0,"[{'value': 1.8, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Chile and Peru rebuff Bolivia's reactivated claim to restore the Atacama corridor, ceded to Chile in 1884, but Chile has offered instead unrestricted but not sovereign maritime access through Chile to Bolivian natural gas"", ""Chile rejects Peru's unilateral legislation to change its latitudinal maritime boundary with Chile to an equidistance line with a southwestern axis favoring Peru"", 'in October 2007, Peru took its maritime complaint with Chile to the ICJ', 'territorial claim in Antarctica (Chilean Antarctic Territory) partially overlaps Argentine and British claims', 'the joint boundary commission, established by Chile and Argentina in 2001, has yet to map and demarcate the delimited boundary in the inhospitable Andean Southern Ice Field (Campo de Hielo Sur)']"
China,extremely diverse; tropical in south to subarctic in north,"['coal', 'iron ore', 'helium', 'petroleum', 'natural gas', 'arsenic', 'bismuth', 'cobalt', 'cadmium', 'ferrosilicon', 'gallium', 'germanium', 'hafnium', 'indium', 'lithium', 'mercury', 'tantalum', 'tellurium', 'tin', 'titanium', 'tungsten', 'antimony', 'manganese', 'magnesium', 'molybdenum', 'selenium', 'strontium', 'vanadium', 'magnetite', 'aluminum', 'lead', 'zinc', 'rare earth elements', 'uranium', 'hydropower potential', 'arable land']","overwhelming majority of the population is found in the eastern half of the country; the west, with its vast mountainous and desert areas, remains sparsely populated; though ranked first in the world in total population, overall density is less than that of many other countries in Asia and Europe; high population density is found along the Yangtze and Yellow River valleys, the Xi Jiang River delta, the Sichuan Basin (around Chengdu), in and around Beijing, and the industrial area around Shenyang",-0.4,17.29,11.48,46.81,12.08,12.34,"[{'name': 'Standard Chinese or Mandarin', 'note': 'official; Putonghua, based on the Beijing dialect'}, {'name': 'Yue', 'note': 'Cantonese'}, {'name': 'Wu', 'note': 'Shanghainese'}, {'name': 'Minbei', 'note': 'Fuzhou'}, {'name': 'Minnan', 'note': 'Hokkien-Taiwanese'}, {'name': 'Xiang'}, {'name': 'Gan'}, {'name': 'Hakka dialects'}, {'name': 'minority languages', 'note': 'see Ethnic groups entry'}]",communist party-led state,"civil law influenced by Soviet and continental European civil law systems; legislature retains power to interpret statutes; note - on 28 May 2020, the National People's Congress adopted the PRC Civil Code, which codifies personal relations and property relations",1.0,21.0,100.0,1.0,54.3,119.0,"[{'value': 1.9, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2015'}]","['China and India continue their security and foreign policy dialogue started in 2005 related to a number of boundary disputes across the 2,000 mile shared border', ""India does not recognize Pakistan's 1964 ceding to China of the Aksai Chin, a territory designated as part of the princely state of Kashmir by the British Survey of India in 1865"", 'China claims most of the Indian state Arunachal Pradesh to the base of the Himalayas, but the US recognizes the state of Arunachal Pradesh as Indian territory', ""Bhutan and China continue negotiations to establish a common boundary alignment to resolve territorial disputes arising from substantial cartographic discrepancies, the most contentious of which lie in Bhutan's west along China's Chumbi salient"", 'Chinese maps show an international boundary symbol (the so-called “nine-dash line”) off the coasts of the littoral states of the South China Sea, where China has interrupted Vietnamese hydrocarbon exploration', 'China asserts sovereignty over Scarborough Reef along with the Philippines and Taiwan, and over the Spratly Islands together with Malaysia, the Philippines, Taiwan, Vietnam, and Brunei', 'the 2002 Declaration on the Conduct of Parties in the South China Sea eased tensions in the Spratlys,\xa0and in 2017 China and ASEAN began confidential negotiations for an updated Code of Conduct for the South China Sea designed not to settle territorial disputes but establish rules and norms in the region', 'this still is\xa0not the legally binding code of conduct sought by some parties', 'Vietnam and China continue to expand construction of facilities in the Spratlys and in early 2018 China began deploying advanced military systems to disputed Spratly outposts', 'China occupies some of the Paracel Islands also claimed by Vietnam and Taiwan', 'the Japanese-administered Senkaku Islands are also claimed by China and Taiwan', 'certain islands in the Yalu and Tumen Rivers are in dispute with North Korea', 'North Korea and China seek to stem illegal migration to China by North Koreans, fleeing privation and oppression', 'China and Russia have demarcated the once disputed islands at the Amur and Ussuri confluence and in the Argun River in accordance with their 2004 Agreement', 'China and Tajikistan have begun demarcating the revised boundary agreed to in the delimitation of 2002', 'the decade-long demarcation of the China-Vietnam land boundary was completed in 2009', 'citing environmental, cultural, and social concerns, China has reconsidered construction of 13 dams on the Salween River, but energy-starved Burma, with backing from Thailand, continues to consider\xa0building five hydro-electric dams downstream despite regional and international protests']"
Christmas Island,tropical with a wet season (December to April) and dry season; heat and humidity moderated by trade winds,"['phosphate', 'beaches']",majority of the population lives on the northern tip of the island,,12.79,12.2,57.91,11.66,5.44,"[{'name': 'English', 'percent': 27.6, 'note': 'official'}, {'name': 'Mandarin', 'percent': 17.2}, {'name': 'Malay', 'percent': 17.1}, {'name': 'Cantonese', 'percent': 3.9}, {'name': 'Min Nan', 'percent': 1.6}, {'name': 'Tagalog', 'percent': 1}, {'name': 'other', 'percent': 4.5}, {'name': 'unspecified', 'percent': 27.1}]",non-self-governing overseas territory of Australia,legal system is under the authority of the governor general of Australia and Australian law,,,,,35.8,,,['none']
Clipperton Island,"tropical; humid, average temperature 20-32 degrees Celsius, wet season (May to October)",['fish'],,,,,,,,None,,the laws of France apply,,,,,,,,['none']
Cocos (Keeling) Islands,"tropical with high humidity, moderated by the southeast trade winds for about nine months of the year",['fish'],only Home Island and West Island are populated,,,,,,,"[{'name': 'English', 'percent': 22.3}, {'name': 'Malay', 'percent': 68.8, 'note': 'Cocos dialect'}, {'name': 'unspecified', 'percent': 8.9}]",non-self-governing overseas territory of Australia,common law based on the Australian model,,183.0,,,,,,['none']
Colombia,tropical along coast and eastern plains; cooler in highlands,"['petroleum', 'natural gas', 'coal', 'iron ore', 'nickel', 'gold', 'copper', 'emeralds', 'hydropower']","the majority of people live in the north and west where agricultural opportunities and natural resources are found; the vast grasslands of the llanos to the south and east, which make up approximately 60% of the country, are sparsely populated",-0.6000000000000001,23.27,16.38,42.04,9.93,8.39,"[{'name': 'Spanish', 'note': 'official'}]",presidential republic,civil law system influenced by the Spanish and French civil codes,31.0,160.0,99.0,49.0,62.26,134.0,"[{'value': 3.2, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 3.1, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 3.2, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 3.1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 3.1, 'units': 'percent_of_gdp', 'date': '2015'}]","['in December 2007, ICJ allocated San Andres, Providencia, and Santa Catalina islands to Colombia under 1928 Treaty but did not rule on 82 degrees W meridian as maritime boundary with Nicaragua', 'managed dispute with Venezuela over maritime boundary and Venezuelan-administered Los Monjes Islands near the Gulf of Venezuela', 'Colombian-organized illegal narcotics, guerrilla, and paramilitary activities penetrate all neighboring borders and have caused Colombian citizens to flee mostly into neighboring countries', 'Colombia, Honduras, Nicaragua, Jamaica, and the US assert various claims to Bajo Nuevo and Serranilla Bank']"
Comoros,tropical marine; rainy season (November to May),['fish'],"the capital city of Maroni, located on the western side of the island of Grande Comore, is the country's largest city; however, of the three islands that comprise Comoros, it is Anjouan that is the most densely populated",-2.3,36.68,20.75,33.99,4.49,4.08,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'French', 'note': 'official'}, {'name': 'Shikomoro', 'note': 'official; a blend of Swahili and Arabic; Comorian'}]",federal presidential republic,"mixed legal system of Islamic religious law, the French civil code of 1975, and customary law",201.0,125.0,77.8,203.0,8.48,61.0,,"[""claims French-administered Mayotte and challenges France's and Madagascar's claims to Banc du Geyser, a drying reef in the Mozambique Channel"", 'in May 2008, African Union forces assisted the Comoros military recapture Anjouan Island from rebels who seized it in 2001']"
"Congo, Democratic Republic Of The","tropical; hot and humid in equatorial river basin; cooler and drier in southern highlands; cooler and wetter in eastern highlands; north of Equator - wet season (April to October), dry season (December to February); south of Equator - wet season (November to March), dry season (April to October)","['cobalt', 'copper', 'niobium', 'tantalum', 'petroleum', 'industrial', 'gem diamonds', 'gold', 'silver', 'zinc', 'manganese', 'tin', 'uranium', 'coal', 'hydropower', 'timber']","urban clusters are spread throughout the country, particularly in the northeast along the boarder with Uganda, Rwanda, and Burundi; the largest city is the capital, Kinshasha, located in the west along the Congo River; the south is least densely populated",-0.9,46.38,19.42,28.38,3.36,2.47,"[{'name': 'French', 'note': 'official'}, {'name': 'Lingala', 'note': 'a lingua franca trade language'}, {'name': 'Kingwana', 'note': 'a dialect of Kiswahili or Swahili'}, {'name': 'Kikongo'}, {'name': 'Tshiluba'}]",semi-presidential republic,"civil law system primarily based on Belgian law, but also customary and tribal law",103.0,101.0,17.1,105.0,8.62,38.0,"[{'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.4, 'units': 'percent_of_gdp', 'date': '2015'}]","['heads of the Great Lakes states and UN pledged in 2004 to abate tribal, rebel, and militia fighting in the region, including northeast Congo, where the UN Organization Mission in the Democratic Republic of the Congo (MONUC), organized in 1999, maintains over 16,500 uniformed peacekeepers', ""members of Uganda's Lord's Resistance Army forces continue to seek refuge in Congo's Garamba National Park as peace talks with the Uganda Government evolve"", 'the location of the boundary in the broad Congo River with the Republic of the Congo is indefinite except in the Pool Malebo/Stanley Pool area', 'Uganda and DRC dispute Rukwanzi Island in Lake Albert and other areas on the Semliki River with hydrocarbon potential', 'boundary commission continues discussions over Congolese-administered triangle of land on the right bank of the Lunkinda River claimed by Zambia near the DRC village of Pweto', 'DRC accuses Angola of shifting monuments']"
"Congo, Republic Of The",tropical; rainy season (March to June); dry season (June to October); persistent high temperatures and humidity; particularly enervating climate astride the Equator,"['petroleum', 'timber', 'potash', 'lead', 'zinc', 'uranium', 'copper', 'phosphates', 'gold', 'magnesium', 'natural gas', 'hydropower']","the population is primarily located in the south, in and around the capital of Brazzaville",-0.9,41.57,17.14,33.5,4.59,3.2,"[{'name': 'French', 'note': 'official'}, {'name': 'French'}]",presidential republic,mixed legal system of French civil law and customary law,133.0,212.0,56.6,139.0,8.65,99.0,"[{'value': 2.7, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.5, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 4.3, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 6.4, 'units': 'percent_of_gdp', 'date': '2016'}]",['the location of the boundary in the broad Congo River with the Democratic Republic of the Congo is undefined except in the Pool Malebo/Stanley Pool area']
Cook Islands,tropical oceanic; moderated by trade winds; a dry season from April to November and a more humid season from December to March,"['coconuts', 'copra']",most of the population is found on the island of Rarotonga,-29.9,19.93,14.89,37.66,14.15,13.37,"[{'name': 'English', 'percent': 86.4, 'note': 'official'}, {'name': 'Cook Islands Maori', 'percent': 76.2, 'note': 'Rarotongan; official'}, {'name': 'other', 'percent': 8.3}]",parliamentary democracy,common law similar to New Zealand common law,216.0,195.0,,207.0,54.0,105.0,,['none']
Coral Sea Islands,tropical,['fish'],,,,,,,,None,,the common law legal system of Australia applies where applicable,,,,,,,,['none']
Costa Rica,tropical and subtropical; dry season (December to April); rainy season (May to November); cooler in highlands,['hydropower'],roughly half of the nation's population resides in urban areas; the capital of San Jose is the largest city and home to approximately one-fifth of the population,0.8,22.08,15.19,43.98,9.99,8.76,"[{'name': 'Spanish', 'note': 'official'}, {'name': 'English'}]",presidential republic,civil law system based on Spanish civil code; judicial review of legislative acts in the Supreme Court,93.0,104.0,100.0,94.0,74.09,170.0,,"['Costa Rica and Nicaragua regularly file border dispute cases over the delimitations of the San Juan River and the northern tip of Calero Island to the International Court of Justice (ICJ)', 'in 2009, the ICJ ruled that Costa Rican vessels carrying out police activities could not use the river, but official Costa Rican vessels providing essential services to riverside inhabitants and Costa Rican tourists could travel freely on the river', 'in 2011, the ICJ provisionally ruled that both countries must remove personnel from the disputed area', ""in 2013, the ICJ rejected Nicaragua's 2012 suit to halt Costa Rica's construction of a highway paralleling the river on the grounds of irreparable environmental damage"", 'in 2013, the ICJ, regarding the disputed territory, ordered that Nicaragua should refrain from dredging or canal construction and refill and repair damage caused by trenches connecting the river to the Caribbean and upheld its 2010 ruling that Nicaragua must remove all personnel', 'in early 2014, Costa Rica brought Nicaragua to the ICJ over offshore oil concessions in the disputed region']"
Cote D'Ivoire,"tropical along coast, semiarid in far north; three seasons - warm and dry (November to March), hot and dry (March to May), hot and wet (June to October)","['petroleum', 'natural gas', 'diamonds', 'manganese', 'iron ore', 'cobalt', 'bauxite', 'copper', 'gold', 'nickel', 'tantalum', 'silica sand', 'clay', 'cocoa beans', 'coffee', 'palm oil', 'hydropower']","the population is primarily located in the forested south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the northern savanna remains sparsely populated with higher concentrations located along transportation corridors",1.2,38.53,20.21,34.88,3.5300000000000002,2.85,"[{'name': 'French', 'note': 'official'}, {'name': 'native dialects of which', 'percent': 60}]",presidential republic,civil law system based on the French civil code; judicial review of legislation held in the Constitutional Chamber of the Supreme Court,86.0,10.0,64.3,114.0,46.82,129.0,"[{'value': 1.1, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.4, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.7000000000000002, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.7000000000000002, 'units': 'percent_of_gdp', 'date': '2015'}]","[""disputed maritime border between Cote d'Ivoire and Ghana""]"
Croatia,"Mediterranean and continental; continental climate predominant with hot summers and cold winters; mild winters, dry summers along coast","['oil', 'some coal', 'bauxite', 'low-grade iron ore', 'calcium', 'gypsum', 'natural asphalt', 'silica', 'mica', 'clays', 'salt', 'hydropower']","more of the population lives in the northern half of the country, with approximately a quarter of the populace residing in and around the capital of Zagreb; many of the islands are sparsely populated",-1.0,14.16,10.76,39.77,14.24,21.06,"[{'name': 'Croatian', 'percent': 95.6, 'note': 'official'}, {'name': 'Serbian', 'percent': 1.2}, {'name': 'other', 'percent': 3, 'note': 'including Hungarian, Czech, Slovak, and Albanian'}, {'name': 'unspecified', 'percent': 0.2}]",parliamentary republic,civil law system influenced by legal heritage of Austria-Hungary; note - Croatian law was fully harmonized with the European Community acquis as of the June 2010 completion of EU accession negotiations,85.0,121.0,100.0,80.0,72.69,103.0,"[{'value': 1.6800000000000002, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.5899999999999999, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.67, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.62, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.78, 'units': 'percent_of_gdp', 'date': '2015'}]","['dispute remains with Bosnia and Herzegovina over several small sections of the boundary related to maritime access that hinders ratification of the 1999 border agreement', ""since the breakup of Yugoslavia in the early 1990s, Croatia and Slovenia have each claimed sovereignty over Piranski Bay and four villages, and Slovenia has objected to Croatia's claim of an exclusive economic zone in the Adriatic Sea"", 'in 2009, however Croatia and Slovenia signed a binding international arbitration agreement to define their disputed land and maritime borders, which led to Slovenia lifting its objections to Croatia joining the EU', 'Slovenia continues to impose a hard border Schengen regime with Croatia, which joined the EU in 2013 but has not yet fulfilled Schengen requirements']"
Cuba,tropical; moderated by trade winds; dry season (November to April); rainy season (May to October),"['cobalt', 'nickel', 'iron ore', 'chromium', 'copper', 'salt', 'timber', 'silica', 'petroleum', 'arable land']","large population clusters found throughout the country, the more significant ones being in the larger towns and cities, particularly the capital of Havana",-3.7,16.34,11.81,41.95,14.11,15.8,"[{'name': 'Spanish', 'note': 'official'}]",communist state,civil law system based on Spanish civil code,79.0,167.0,100.0,74.0,57.15,48.0,"[{'value': 2.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 3.07, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 3.08, 'units': 'percent_of_gdp', 'date': '2015'}, {'value': 3.54, 'units': 'percent_of_gdp', 'date': '2014'}]",['US Naval Base at Guantanamo Bay is leased to US and only mutual agreement or US abandonment of the facility can terminate the lease']
Curacao,"tropical marine climate, ameliorated by northeast trade winds, results in mild temperatures; semiarid with average rainfall of 60 cm/year","['calcium phosphates', 'aloes', 'sorghum', 'peanuts', 'vegetables', 'tropical fruit']","largest concentration on the island is Willemstad; smaller settlements near the coast can be found throughout the island, particularly in the northwest",-1.3,19.68,13.38,36.55,13.88,16.52,"[{'name': 'Papiamento', 'percent': 79.9, 'note': 'official; a creole language that is a mixture of Portuguese, Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak'}, {'name': 'Dutch', 'percent': 8.8, 'note': 'official'}, {'name': 'Spanish', 'percent': 5.6}, {'name': 'English', 'percent': 3.1, 'note': 'official'}, {'name': 'other', 'percent': 2.9}, {'name': 'unspecified .3%', 'note': '2001 census'}]",parliamentary democracy,based on Dutch civil law,189.0,95.0,100.0,,93.9,124.0,,
Cyprus,"temperate; Mediterranean with hot, dry summers and cool winters","['copper', 'pyrites', 'asbestos', 'gypsum', 'timber', 'salt', 'marble', 'clay earth pigment']","population concentrated in central Nicosia and in the major cities of the south: Paphos, Limassol, and Larnaca",7.6,15.69,12.29,47.12,11.92,12.97,"[{'name': 'Greek', 'percent': 80.9, 'note': 'official'}, {'name': 'Turkish', 'percent': 0.2, 'note': 'official'}, {'name': 'English', 'percent': 4.1}, {'name': 'Romanian', 'percent': 2.9}, {'name': 'Russian', 'percent': 2.5}, {'name': 'Bulgarian', 'percent': 2.2}, {'name': 'Arabic', 'percent': 1.2}, {'name': 'Filipino', 'percent': 1.1}, {'name': 'other', 'percent': 4.3}, {'name': 'unspecified', 'percent': 0.6000000000000001}]","Republic of Cyprus - presidential republic; ""Turkish Republic of Northern Cyprus"" (self-declared) - parliamentary republic with enhanced presidency
note: a separation of the two main ethnic communities inhabiting the island began following the outbreak of communal strife in 1963; this separation was further solidified when a Greek military-junta-supported coup attempt prompted the Turkish military intervention in July 1974 that gave the Turkish Cypriots de facto control in the north; Greek Cypriots control the only internationally recognized government on the island; on 15 November 1983, then Turkish Cypriot ""President"" Rauf DENKTAS declared independence and the formation of the ""TRNC,” which is recognized only by Turkey",mixed legal system of English common law and civil law with European law supremacy,129.0,81.0,100.0,117.0,84.43,97.0,"[{'value': 1.6, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.8, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.6, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.4, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.7000000000000002, 'units': 'percent_of_gdp', 'date': '2015'}]","['hostilities in 1974 divided the island into two de facto autonomous entities, the internationally recognized Cypriot Government and a Turkish-Cypriot community (north Cyprus)', 'the 1,000-strong UN Peacekeeping Force in Cyprus (UNFICYP) has served in Cyprus since 1964 and maintains the buffer zone between north and south', ""on 1 May 2004, Cyprus entered the EU still divided, with the EU's body of legislation and standards (acquis communitaire) suspended in the north"", 'Turkey protests Cypriot Government creating hydrocarbon blocks and maritime boundary with Lebanon in March 2007']"
Czechia,"temperate; cool summers; cold, cloudy, humid winters","['hard coal', 'soft coal', 'kaolin', 'clay', 'graphite', 'timber', 'arable land']","a fairly even distribution throughout most of the country, but the northern and eastern regions tend to have larger urban concentrations",2.3,15.17,9.2,43.29,12.12,20.23,"[{'name': 'Czech', 'percent': 95.4, 'note': 'official'}, {'name': 'Slovak', 'percent': 1.6}, {'name': 'other', 'percent': 3, 'note': '2011 census'}]",parliamentary republic,"new civil code enacted in 2014, replacing civil code of 1964 - based on former Austro-Hungarian civil codes and socialist theory - and reintroducing former Czech legal terminology",49.0,68.0,100.0,40.0,80.69,119.0,"[{'value': 1.19, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.13, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.04, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.96, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.03, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Denmark,"temperate; humid and overcast; mild, windy winters and cool summers","['petroleum', 'natural gas', 'fish', 'arable land', 'salt', 'limestone', 'chalk', 'stone', 'gravel', 'sand']","with excellent access to the North Sea, Skagerrak, Kattegat, and the Baltic Sea, population centers tend to be along coastal areas, particularly in Copenhagen and the eastern side of the country's mainland",2.8,16.42,12.33,38.71,12.63,19.91,"[{'name': 'Danish'}, {'name': 'Faroese'}, {'name': 'Greenlandic', 'note': 'an Inuit dialect'}, {'name': 'German', 'note': 'small minority'}]",parliamentary constitutional monarchy,civil law; judicial review of legislative acts,60.0,139.0,100.0,52.0,97.64,124.0,"[{'value': 1.32, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.15, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.15, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.11, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Iceland, the UK, and Ireland dispute Denmark's claim that the Faroe Islands' continental shelf extends beyond 200 nm"", 'sovereignty dispute with Canada over Hans Island in the Kennedy Channel between Ellesmere Island and Greenland', 'Denmark (Greenland) and Norway have made submissions to the Commission on the Limits of the Continental Shelf (CLCS) and Russia is collecting additional data to augment its 2001 CLCS submission']"
Dhekelia,"temperate; Mediterranean with hot, dry summers and cool winters",,,,,,,,,"[{'name': 'English'}, {'name': 'Greek'}]",,"laws applicable to the Cypriot population are, as far as possible, the same as the laws of the Republic of Cyprus; note - the Sovereign Base Area Administration has its own court system to deal with civil and criminal matters",,,,,,,,
Djibouti,"desert; torrid, dry","['potential geothermal power', 'gold', 'clay', 'granite', 'limestone', 'marble', 'salt', 'diatomite', 'gypsum', 'pumice', 'petroleum']","most densely populated areas are in the east; the largest city is Djibouti, with a population over 600,000; no other city in the country has a total population over 50,000",5.1,29.97,20.32,40.73,5.01,3.9699999999999998,"[{'name': 'French', 'note': 'official'}, {'name': 'Arabic', 'note': 'official'}, {'name': 'Somali'}, {'name': 'Afar'}]",presidential republic,"mixed legal system based primarily on the French civil code (as it existed in 1997), Islamic religious law (in matters of family law and successions), and customary law",183.0,26.0,51.8,175.0,55.68,45.0,,"['Djibouti maintains economic ties and border accords with ""Somaliland"" leadership while maintaining some political ties to various factions in Somalia', 'Kuwait is chief investor in the 2008 restoration and upgrade of the Ethiopian-Djibouti rail link', 'in 2008, Eritrean troops moved across the border on Ras Doumera peninsula and occupied Doumera Island with undefined sovereignty in the Red Sea']"
Dominica,tropical; moderated by northeast trade winds; heavy rainfall,"['timber', 'hydropower', 'arable land']","population is mosly clustered along the coast, with roughly a third living in the parish of St. George, in or around the capital of Roseau; the volcanic interior is sparsely populated",-5.3,21.41,13.15,42.79,10.53,12.12,"[{'name': 'English', 'note': 'official'}, {'name': 'French patois'}]",parliamentary republic,common law based on the English model,206.0,217.0,100.0,201.0,69.62,102.0,,"[""Dominica is the only Caribbean state to challenge Venezuela's sovereignty claim over Aves Island and joins the other island nations in challenging whether the feature sustains human habitation, a criterion under the UN Convention on the Law of the Sea, which permits Venezuela to extend its EEZ and continental shelf claims over a large portion of the eastern Caribbean Sea""]"
